FeatureID	HEB-0N-1	HEB-0N-2	HEB-0N-3	HEB-0N-4	HEB-0N-5	HEB-N-1	HEB-N-2	HEB-N-3	HEB-N-4	HEB-N-5	NMG-0N-1	NMG-0N-2	NMG-0N-3	NMG-0N-4	NMG-0N-5	NMG-N-1	NMG-N-2	NMG-N-3	NMG-N-4	NMG-N-5	XJ-HN-1	XJ-HN-2	XJ-HN-3	XJ-HN-4	XJ-HN-5	XJ-LN-1	XJ-LN-2	XJ-LN-3	XJ-LN-4	XJ-LN-5
c87d741727ee8ee47feb62eed8427907	0	0	0	0	0	0	0	0	0	0	37	22	21	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5321f135ecb12ee5ca0fe3b4a0e2d004	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c772a257c162354525121f77f867177a	0	0	12	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46fec08edd5dd0a9cc39aaf8d4b59065	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	18	0	0	13	0	0	0	0	0	0	0	0	0	0	0
e55d87d180bc5cbf9e22760ca9710aef	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84724fafe673139914460b980c73fc89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	15	0	0	0	0	0	0	0	0	0	0	0
b730959647290cc4dd1229ddbf3b224c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
80645f1bddd009f72a38324855295ff1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b4e934aca986c1c6106b3068fe9a82f4	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
014bc4b96c7dd82fac8c94c0c5386187	0	0	35	0	0	0	0	0	54	0	61	0	0	0	0	0	49	0	37	15	33	323	21	0	0	0	17	170	67	1296
88214772485d309726903d890c7a1321	120	156	21	432	24	661	45	36	182	229	0	24	30	0	0	35	0	25	8	47	18	22	28	34	54	42	48	24	46	0
ef3b9b399d0a1ed8ee8d392a3945f7b4	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2c8077686c35a4046de3a69aff099120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0
13abdcb96ab2af97c8c5cc1b4d8e952f	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9cfa563d92c0823d668501fd11843d19	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
92f5cb833ccd57bd1228dd6c917722be	0	0	0	0	0	0	0	0	24	0	26	55	0	16	0	0	32	208	0	42	0	0	0	0	0	0	0	0	0	0
61c62f9ac9d9a2eea6483c76dca007d9	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48b84e871005660a3d8f9ed9e897dabb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0
232451e45836fac51ce70e4139b2d8d5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
780bd9829b91c7713bacb692c186d601	178	72	0	49	72	458	65	113	107	598	0	92	50	83	0	0	25	28	0	0	53	379	78	0	0	98	0	0	0	0
e33acc50310a0e0559cef6dafd299c37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
e4ca578c13d6d73dccaf08879711b82c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
64c80880f4e562cab5894891213ddd2c	0	0	0	0	0	0	9	0	0	0	28	45	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0
0576d2427878e36033e85e6a95165c9e	0	0	0	0	0	0	17	0	0	0	0	19	0	0	0	65	40	44	0	33	0	0	0	0	0	0	0	0	0	0
6998b027bf41876f0ac31c56c243d9fb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
